,NAME,TEAM_RANK,POSITION,COST,Predicted_Points
0,william saliba,2.0,DF,62,121.28327088382503
1,tyrick mitchell,10.0,DF,48,114.25745605012847
2,joachim andersen,10.0,DF,42,106.50369573672891
3,fabian schar,7.0,DF,54,123.81149253779951
4,pedro porro,5.0,DF,54,138.41545787987388
5,bukayo saka,2.0,FW,102,169.2671529015016
6,anthony gordon,7.0,FW,77,156.07708118614886
7,brennan johnson,5.0,FW,63,143.05621842395124
8,andre onana,8.0,GK,51,144.11966691037279
9,guglielmo vicario,5.0,GK,48,160.2930409168757
10,leon bailey,4.0,MF,62,130.94662621013293
11,conor gallagher,6.0,MF,59,135.38501594575573
12,cole palmer,3.5,MF,113,157.07643605468692
13,phil foden,1.0,MF,93,147.38141885056734
14,dejan kulusevski,5.0,MF,64,159.67418714793894
