,NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
0,fabian schar,Schär,Newcastle,7,DF,55,31,36,35,3054,4,1,0,0,5,0,2.5,0.7,0,58,9,0,123,3054.0,763.5,84.83333333333333,24.829268292682926,1221.6,4362.857142857143,1.5,0.30000000000000004
1,david datro fofana,D.D.Fofana,Chelsea,6,FW,55,20,15,10,879,4,1,0,0,1,0,4.5,1.8,0,18,1,0,50,879.0,219.75,58.6,17.58,195.33333333333334,488.3333333333333,-0.5,-0.8
2,james milner,Milner,Brighton,11,MF,50,37,15,11,773,0,2,0,0,3,0,0.3,1.8,0,12,4,0,28,386.5,3510.0,51.53333333333333,27.607142857142858,2576.666666666667,429.44444444444446,-0.3,0.19999999999999996
3,ederson santana de moraes,Ederson M.,Man City,1,GK,55,29,33,33,2785,0,0,0,0,5,0,0.0,0.1,0,27,11,57,112,3510.0,3510.0,84.39393939393939,24.866071428571427,35100.0,27850.0,0.0,-0.1
4,hannibal mejbri,Hannibal,Man Utd,8,MF,45,20,5,1,133,1,0,0,0,1,0,0.0,0.4,0,1,1,0,11,3510.0,133.0,26.6,12.090909090909092,35100.0,332.5,1.0,-0.4
5,enso gonzalez,Gonzalez,Wolves,14,MF,45,18,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,3510.0,3510.0,1.0,1.0,35100.0,35100.0,0.0,0.0
6,tommy doyle,Doyle,Wolves,14,MF,50,21,26,11,1222,0,0,0,0,2,0,0.4,0.4,0,24,3,0,38,3510.0,3510.0,47.0,32.1578947368421,3055.0,3055.0,-0.4,-0.4
7,pape matar sarr,P.Sarr,Spurs,5,MF,50,20,34,27,2069,3,3,0,0,9,0,3.4,2.2,0,27,9,0,86,689.6666666666666,689.6666666666666,60.85294117647059,24.058139534883722,608.5294117647059,940.4545454545454,-0.3999999999999999,0.7999999999999998
8,marc cucurella saseta,Cucurella,Chelsea,6,DF,50,25,21,20,1782,0,2,0,0,10,0,1.1,1.1,1,33,4,0,44,891.0,3510.0,84.85714285714286,40.5,1619.9999999999998,1619.9999999999998,-1.1,0.8999999999999999
9,tom cairney,Cairney,Fulham,13,MF,50,32,34,14,1488,1,4,0,0,3,0,1.1,2.3,1,27,4,0,70,372.0,1488.0,43.76470588235294,21.257142857142856,1352.7272727272725,646.9565217391305,-0.10000000000000009,1.7000000000000002
10,christian nørgaard,Nørgaard,Brentford,16,MF,50,29,31,30,2505,2,1,0,0,8,0,3.5,1.9,0,51,6,0,74,2505.0,1252.5,80.80645161290323,33.851351351351354,715.7142857142857,1318.421052631579,-1.5,-0.8999999999999999
11,david brooks,Brooks,Bournemouth,12,MF,50,26,13,2,282,1,1,0,0,1,0,2.2,1.0,0,7,0,0,23,282.0,282.0,21.692307692307693,12.26086956521739,128.18181818181816,282.0,-1.2000000000000002,0.0
12,jack harrison,Harrison,Everton,15,MF,55,26,29,25,2214,3,3,0,0,1,0,3.6,3.4,0,26,11,0,92,738.0,738.0,76.34482758620689,24.065217391304348,615.0,651.1764705882354,-0.6000000000000001,-0.3999999999999999
13,marcos senesi,Senesi,Bournemouth,12,DF,50,26,31,26,2242,4,5,0,0,13,0,2.0,1.7,0,44,6,0,102,448.4,560.5,72.3225806451613,21.980392156862745,1121.0,1318.8235294117646,2.0,3.3
14,dane scarlett,Scarlett,Spurs,5,FW,45,19,4,0,22,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,3510.0,3510.0,5.5,5.5,35100.0,35100.0,0.0,0.0
15,ruben gato alves dias,Rúben,Man City,1,DF,55,26,30,28,2559,0,0,0,0,0,0,1.4,0.3,1,28,9,0,88,3510.0,3510.0,85.3,29.079545454545453,1827.857142857143,8530.0,-1.4,-0.3
16,carlos baleba,Baleba,Brighton,11,MF,50,19,27,15,1325,0,0,0,0,7,0,0.8,0.3,0,28,2,0,34,3510.0,3510.0,49.074074074074076,38.970588235294116,1656.25,4416.666666666667,-0.8,-0.3
17,jacob ramsey,Ramsey,Aston Villa,4,MF,55,22,16,8,853,1,1,0,0,2,0,2.2,1.0,0,12,0,0,29,853.0,853.0,53.3125,29.413793103448278,387.7272727272727,853.0,-1.2000000000000002,0.0
18,harry toffolo,Toffolo,Nott'm Forest,17,DF,45,27,23,15,1459,1,3,0,0,3,0,1.6,1.5,0,29,2,0,52,486.3333333333333,1459.0,63.43478260869565,28.057692307692307,911.875,972.6666666666666,-0.6000000000000001,1.5
19,marc guehi,Guéhi,Crystal Palace,10,DF,45,23,25,23,2021,0,1,0,0,2,0,0.6,0.6,0,32,6,0,66,2021.0,3510.0,80.84,30.62121212121212,3368.3333333333335,3368.3333333333335,-0.6,0.4
20,victor lindelof,Lindelof,Man Utd,8,DF,45,29,19,14,1328,1,1,0,0,2,0,0.8,0.3,0,16,5,0,62,1328.0,1328.0,69.89473684210526,21.419354838709676,1660.0,4426.666666666667,0.19999999999999996,0.7
21,tim ream,Ream,Fulham,13,DF,45,35,18,17,1503,1,0,0,0,4,1,1.0,0.0,0,31,3,0,40,3510.0,1503.0,83.5,37.575,1503.0,35100.0,0.0,0.0
22,tomas soucek,Souček,West Ham,9,MF,50,28,37,34,2870,7,2,0,0,7,0,6.7,1.7,0,64,5,0,116,1435.0,410.0,77.56756756756756,24.74137931034483,428.35820895522386,1688.235294117647,0.2999999999999998,0.30000000000000004
23,jadon sancho,Sancho,Man Utd,8,MF,65,23,3,0,79,0,0,0,0,0,0,0.0,0.1,0,1,0,0,3,3510.0,3510.0,26.333333333333332,26.333333333333332,35100.0,790.0,0.0,-0.1
24,jean-ricner bellegarde,Bellegarde,Wolves,14,MF,50,25,22,10,958,2,1,0,0,0,1,1.6,1.0,0,24,0,0,45,958.0,479.0,43.54545454545455,21.288888888888888,598.75,958.0,0.3999999999999999,0.0
25,daniel munoz,Muñoz,Crystal Palace,10,DF,50,27,16,16,1439,0,4,0,0,4,0,1.2,2.4,0,22,5,0,56,359.75,3510.0,89.9375,25.696428571428573,1199.1666666666667,599.5833333333334,-1.2,1.6
26,son heung-min,Son,Spurs,5,MF,100,31,35,34,2934,17,10,2,0,1,0,12.0,11.8,1,51,8,0,213,293.4,172.58823529411765,83.82857142857142,13.774647887323944,244.5,248.64406779661016,5.0,-1.8000000000000007
27,josko gvardiol,Gvardiol,Man City,1,DF,60,21,28,26,2328,4,1,0,0,3,0,3.1,1.4,0,23,9,0,123,2328.0,582.0,83.14285714285714,18.926829268292682,750.9677419354839,1662.857142857143,0.8999999999999999,-0.3999999999999999
28,billy gilmour,Gilmour,Brighton,11,MF,50,22,30,24,2120,0,1,0,0,8,1,1.0,2.0,0,37,6,0,61,2120.0,3510.0,70.66666666666667,34.75409836065574,2120.0,1060.0,-1.0,-1.0
29,tyrone mings,Mings,Aston Villa,4,DF,45,30,1,1,30,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,3510.0,3510.0,30.0,270.0,35100.0,35100.0,0.0,0.0
30,bernd leno,Leno,Fulham,13,GK,50,31,38,38,3420,0,0,0,0,3,0,0.0,0.0,1,61,10,134,133,3510.0,3510.0,90.0,25.714285714285715,35100.0,35100.0,0.0,0.0
31,fabio silva,Fábio Silva,Wolves,14,FW,50,21,8,3,264,0,0,0,0,2,0,1.0,0.2,0,8,1,0,8,3510.0,3510.0,33.0,33.0,264.0,1320.0,-1.0,-0.2
32,lesley ugochukwu,Ugochukwu,Chelsea,6,MF,45,19,12,3,301,0,0,0,0,2,0,0.0,0.1,0,6,1,0,13,3510.0,3510.0,25.083333333333332,23.153846153846153,35100.0,3010.0,0.0,-0.1
