,NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PEANLTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
0,aymeric laporte,26,1.0,DF,16,14,1344,0,0,0,0,1,0,0.8,0.4,0.0,10.0,7.0,0.0,58.0,160,3510.0,3510.0,84.0,23.17241379310345,1680.0,3360.0,-0.8,-0.4
2,sean longstaff,22,12.0,MF,22,15,1412,0,1,0,0,2,0,1.4,1.0,0.0,26.0,2.0,0.0,41.0,48,1412.0,3510.0,64.18181818181819,34.4390243902439,1008.5714285714287,1412.0,-1.4,0.0
3,alphonse areola,27,18.0,GK,36,36,3240,0,0,0,0,2,0,0.0,0.0,0.0,48.0,9.0,116.0,124.0,2,3510.0,3510.0,90.0,26.129032258064516,35100.0,35100.0,0.0,0.0
4,fabian delph,30,10.0,MF,8,2,266,0,0,0,0,1,0,0.0,0.1,0.0,6.0,0.0,0.0,8.0,18,3510.0,3510.0,33.25,33.25,35100.0,2660.0,0.0,-0.1
5,rhys williams,19,3.0,DF,9,7,661,0,0,0,0,0,0,0.5,0.2,0.0,6.0,3.0,0.0,28.0,0,3510.0,3510.0,73.44444444444444,23.607142857142858,1322.0,3305.0,-0.5,-0.2
6,reece james,20,4.0,DF,32,25,2373,1,2,0,0,3,0,1.6,3.5,0.0,29.0,9.0,0.0,112.0,141,1186.5,2373.0,74.15625,21.1875,1483.125,678.0,-0.6000000000000001,-1.5
7,marvelous nakamba,26,11.0,MF,13,9,749,0,0,0,0,3,0,0.0,0.1,0.0,6.0,4.0,0.0,27.0,22,3510.0,3510.0,57.61538461538461,27.74074074074074,35100.0,7490.0,0.0,-0.1
8,allan saint-maximin,23,12.0,FW,25,19,1560,3,4,0,0,0,0,2.6,3.7,0.0,26.0,7.0,0.0,85.0,116,390.0,520.0,62.4,18.352941176470587,600.0,421.6216216216216,0.3999999999999999,0.2999999999999998
9,reiss nelson,20,8.0,FW,2,0,71,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,1,3510.0,3510.0,35.5,35.5,710.0,35100.0,-0.1,0.0
10,jamal lewis,22,12.0,DF,24,20,1837,0,1,0,0,4,0,0.1,1.0,0.0,37.0,3.0,0.0,44.0,10,1837.0,3510.0,76.54166666666667,41.75,18370.0,1837.0,-0.1,0.0
11,robin olsen,30,10.0,GK,7,7,630,0,0,0,0,1,0,0.0,0.0,0.0,9.0,2.0,21.0,25.0,1,3510.0,3510.0,90.0,25.2,35100.0,35100.0,0.0,0.0
12,ederson,26,1.0,GK,36,36,3240,0,1,0,0,3,0,0.0,0.3,0.0,28.0,19.0,66.0,160.0,155,3240.0,3510.0,90.0,20.25,35100.0,10800.0,0.0,0.7
13,harvey barnes,22,5.0,FW,25,22,1945,9,4,0,0,0,0,5.9,1.6,0.0,25.0,7.0,0.0,126.0,137,486.25,216.11111111111111,77.8,15.436507936507937,329.6610169491525,1215.625,3.0999999999999996,2.4
14,joao virginia,20,10.0,GK,1,0,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,3510.0,3510.0,48.0,24.0,35100.0,35100.0,0.0,0.0
15,matt doherty,28,7.0,DF,17,13,1240,0,2,0,0,4,1,0.4,0.7,0.0,15.0,4.0,0.0,47.0,67,620.0,3510.0,72.94117647058823,26.382978723404257,3100.0,1771.4285714285716,-0.4,1.3
16,moussa djenepo,22,15.0,MF,27,15,1240,1,0,0,0,5,0,0.8,0.4,0.0,27.0,3.0,0.0,46.0,13,3510.0,1240.0,45.925925925925924,26.956521739130434,1550.0,3100.0,0.19999999999999996,-0.4
17,abdoulaye doucoure,27,10.0,MF,29,29,2443,2,3,0,0,6,0,2.3,2.0,0.0,36.0,9.0,0.0,80.0,90,814.3333333333334,1221.5,84.24137931034483,30.5375,1062.1739130434783,1221.5,-0.2999999999999998,1.0
18,ruben loftus-cheek,24,11.0,FW,31,22,1969,1,0,0,0,3,0,3.4,1.2,0.0,44.0,22.0,0.0,132.0,52,3510.0,1969.0,63.516129032258064,14.916666666666666,579.1176470588235,1640.8333333333335,-2.4,-1.2
19,adrian,33,3.0,GK,12,12,1080,0,0,0,0,0,0,0.0,0.0,0.0,18.0,2.0,20.0,22.0,0,3510.0,3510.0,90.0,49.09090909090909,35100.0,35100.0,0.0,0.0
20,ethan ampadu,19,20.0,DF,25,23,2089,0,0,0,0,3,0,0.3,1.2,1.0,41.0,2.0,0.0,44.0,0,3510.0,3510.0,83.56,47.47727272727273,6963.333333333334,1740.8333333333335,-0.3,-1.2
21,javier manquillo,26,12.0,DF,13,10,825,0,0,0,0,1,0,0.0,0.3,0.0,15.0,3.0,0.0,28.0,38,3510.0,3510.0,63.46153846153846,29.464285714285715,35100.0,2750.0,0.0,-0.3
22,nampalys mendy,28,5.0,MF,23,15,1459,0,1,0,0,5,0,0.1,0.2,0.0,25.0,4.0,0.0,41.0,24,1459.0,3510.0,63.43478260869565,35.58536585365854,14590.0,7295.0,-0.1,0.8
23,trent alexander-arnold,21,3.0,DF,36,34,3031,2,7,0,0,2,0,2.6,8.6,0.0,40.0,10.0,0.0,160.0,208,433.0,1515.5,84.19444444444444,18.94375,1165.7692307692307,352.4418604651163,-0.6000000000000001,-1.5999999999999996
24,ian carlo poveda,20,9.0,MF,14,0,355,0,0,0,0,0,0,0.3,1.1,0.0,5.0,0.0,0.0,14.0,0,3510.0,3510.0,25.357142857142858,25.357142857142858,1183.3333333333335,322.7272727272727,-0.3,-1.1
25,dele alli,24,7.0,MF,15,7,620,0,1,0,0,0,0,2.0,1.2,0.0,9.0,3.0,0.0,30.0,35,620.0,3510.0,41.333333333333336,20.666666666666668,310.0,516.6666666666667,-2.0,-0.19999999999999996
26,axel tuanzebe,22,2.0,DF,9,4,404,0,0,0,0,2,0,0.0,0.0,1.0,8.0,0.0,0.0,7.0,14,3510.0,3510.0,44.888888888888886,57.714285714285715,35100.0,35100.0,0.0,0.0
27,ademola lookman,22,18.0,FW,34,31,2747,4,4,0,1,5,0,6.3,5.2,0.0,33.0,10.0,0.0,107.0,76,686.75,686.75,80.79411764705883,25.672897196261683,436.031746031746,528.2692307692307,-2.3,-1.2000000000000002
29,callum hudson-odoi,19,4.0,FW,23,10,1059,2,3,0,0,0,0,1.3,2.8,0.0,5.0,6.0,0.0,59.0,49,353.0,529.5,46.04347826086956,17.949152542372882,814.6153846153846,378.2142857142857,0.7,0.20000000000000018
31,dane scarlett,16,7.0,FW,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3510.0,3510.0,1.0,1.0,35100.0,35100.0,0.0,0.0
33,yves bissouma,23,16.0,MF,36,35,3111,1,0,0,0,8,1,1.4,0.9,0.0,42.0,11.0,0.0,77.0,66,3510.0,3111.0,86.41666666666667,40.4025974025974,2222.1428571428573,3456.6666666666665,-0.3999999999999999,-0.9
34,japhet tanganga,21,7.0,DF,6,6,487,0,0,0,0,2,0,0.4,0.6,0.0,8.0,2.0,0.0,14.0,29,3510.0,3510.0,81.16666666666667,34.785714285714285,1217.5,811.6666666666667,-0.4,-0.6
35,adam lallana,32,16.0,MF,30,16,1596,1,1,0,0,0,0,1.6,2.6,0.0,18.0,5.0,0.0,58.0,44,1596.0,1596.0,53.2,27.517241379310345,997.5,613.8461538461538,-0.6000000000000001,-1.6
36,jakub moder,21,16.0,DF,12,7,647,0,0,0,0,0,0,0.8,0.2,0.0,10.0,2.0,0.0,21.0,58,3510.0,3510.0,53.916666666666664,30.80952380952381,808.75,3235.0,-0.8,-0.2
37,joelinton,23,12.0,FW,31,23,1983,4,2,1,0,3,0,5.4,2.4,0.0,36.0,3.0,0.0,74.0,83,991.5,495.75,63.96774193548387,26.7972972972973,367.2222222222222,826.25,-1.4000000000000004,-0.3999999999999999
