,NAME,RK,POSITION,COST,Predicted_Points
0,fabian schar,7,DF,55,83.81949073104109
1,david datro fofana,6,FW,55,60.06481799453433
2,james milner,11,MF,50,31.80809785177848
3,ederson santana de moraes,1,GK,55,97.40306936979023
4,hannibal mejbri,8,MF,45,38.460376851139934
5,enso gonzalez,14,MF,45,9.50198920749989
6,tommy doyle,14,MF,50,31.9302749938012
7,pape matar sarr,5,MF,50,71.84764391360953
8,marc cucurella saseta,6,DF,50,52.550745849355124
9,tom cairney,13,MF,50,37.52784750234029
10,christian nørgaard,16,MF,50,56.13252699380284
11,david brooks,12,MF,50,34.8183553586569
12,jack harrison,15,MF,55,69.95882707512637
13,marcos senesi,12,DF,50,83.92016600894219
14,dane scarlett,5,FW,45,21.016326714092386
15,ruben gato alves dias,1,DF,55,90.88183968040529
16,carlos baleba,11,MF,50,39.09114995618467
17,jacob ramsey,4,MF,55,47.69485429990479
18,harry toffolo,17,DF,45,44.61367202973731
19,marc guehi,10,DF,45,55.67816042109117
20,victor lindelof,8,DF,45,45.09325966340956
21,tim ream,13,DF,45,22.15817961695535
22,tomas soucek,9,MF,50,74.66165064583704
23,jadon sancho,8,MF,65,20.753189690055358
24,jean-ricner bellegarde,14,MF,50,36.52772981709108
25,daniel munoz,10,DF,50,52.66557306365128
26,son heung-min,5,MF,100,135.78561541395197
27,josko gvardiol,1,DF,60,93.1643421263894
28,billy gilmour,11,MF,50,64.64510466205604
29,tyrone mings,4,DF,45,5.269486426705481
30,bernd leno,13,GK,50,107.96414214554594
31,fabio silva,14,FW,50,37.53297550285181
32,lesley ugochukwu,6,MF,45,22.741028364069457
33,anthony gordon,7,MF,75,154.71970037054177
34,sean longstaff,7,MF,50,83.7991640346146
35,giovani lo celso,5,MF,50,33.03023922169293
36,sandro tonali,7,MF,55,37.25785043387431
37,erling haaland,1,FW,150,194.0378107289342
38,noni madueke,6,MF,65,60.341118767829045
39,tosin adarabioyo,6,DF,45,56.430396261881214
40,craig dawson,14,DF,45,45.73582757565949
41,nathan fraser,14,FW,45,22.654452685967804
42,ethan pinnock,16,DF,45,45.62261489292954
43,ibrahima konate,3,DF,50,50.81927303916596
44,danny ings,9,FW,50,29.982819883857402
45,andrew robertson,3,DF,60,70.77608323142846
46,robin olsen,4,GK,45,20.637767575467702
47,solly march,11,MF,65,45.3822027387978
48,antony matheus dos santos,8,MF,60,55.852372287206464
49,jordan pickford,15,GK,50,106.35307146414712
50,jaden philogene,4,MF,55,10.765324037633935
51,danilo dos santos de oliveira,17,MF,50,59.11400228100682
52,matt doherty,14,DF,45,36.965358514186434
53,calvin bassey,13,DF,45,54.997709284817304
54,james mcatee,1,MF,50,8.585879605223306
55,alexander isak,7,FW,85,170.24496582155945
56,cole palmer,6,MF,105,28.169006134592482
57,james maddison,5,MF,75,104.18390387463559
58,kyle walker-peters,20,DF,45,84.72615288044635
59,jhon duran,4,FW,60,57.03624006379948
60,kyle walker,1,DF,55,80.57063805950683
61,omari kellyman,6,MF,45,22.59583033480417
62,alisson ramses becker,3,GK,55,86.95886463892774
63,william osula,7,FW,50,37.67686104934943
64,kalvin phillips,1,MF,50,19.39752374819849
65,dominic solanke-mitchell,5,FW,75,164.27337027998502
66,aaron cresswell,9,DF,40,13.739267486353375
67,chris richards,10,DF,45,52.23978768272581
68,virgil van dijk,3,DF,60,89.33343958999376
69,igor thiago nascimento rodrigues,16,FW,60,30.01545351463041
70,igor julio dos santos de paulo,11,DF,45,36.93328844270876
71,ivan toney,16,FW,75,46.142009461287145
72,cody gakpo,3,FW,75,83.24213277011789
73,jason steele,11,GK,45,17.745772985893346
74,aaron ramsdale,2,GK,45,36.30980278103648
75,keane lewis-potter,16,MF,50,82.25351781614476
76,declan rice,2,MF,65,115.45713733353941
