,NAME,RK,POSITION,COST,Predicted_Points
0,diogo dalot teixeira,8,DF,50,97.98547546158687
1,william saliba,2,DF,60,111.27376161378041
2,trent alexander-arnold,3,DF,70,111.99430172751842
3,antonee robinson,13,DF,45,94.80424218818257
4,pedro porro,5,DF,55,114.79683551609415
5,alexander isak,7,FW,85,170.24496582155945
6,dominic solanke-mitchell,5,FW,75,164.27337027998502
7,ollie watkins,4,FW,90,196.57336582694577
8,bernd leno,13,GK,50,107.96414214554594
9,alphonse areola,9,GK,45,99.6882484420065
10,anthony gordon,7,MF,75,154.71970037054177
11,bruno borges fernandes,8,MF,85,164.29235443413071
12,phil foden,1,MF,95,214.73394457579144
13,leon bailey,4,MF,65,145.66793231996706
14,dwight mcneil,15,MF,55,124.90307648116651
