NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS
fabian schar,Schär,Newcastle,7,DF,55,31,36,35,3054,4,1,0,0,5,0,2.5,0.7,0,58,9,0,123
david datro fofana,D.D.Fofana,Chelsea,6,FW,55,20,15,10,879,4,1,0,0,1,0,4.5,1.8,0,18,1,0,50
james milner,Milner,Brighton,11,MF,50,37,15,11,773,0,2,0,0,3,0,0.3,1.8,0,12,4,0,28
ederson santana de moraes,Ederson M.,Man City,1,GK,55,29,33,33,2785,0,0,0,0,5,0,0.0,0.1,0,27,11,57,112
hannibal mejbri,Hannibal,Man Utd,8,MF,45,20,5,1,133,1,0,0,0,1,0,0.0,0.4,0,1,1,0,11
enso gonzalez,Gonzalez,Wolves,14,MF,45,18,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
tommy doyle,Doyle,Wolves,14,MF,50,21,26,11,1222,0,0,0,0,2,0,0.4,0.4,0,24,3,0,38
pape matar sarr,P.Sarr,Spurs,5,MF,50,20,34,27,2069,3,3,0,0,9,0,3.4,2.2,0,27,9,0,86
marc cucurella saseta,Cucurella,Chelsea,6,DF,50,25,21,20,1782,0,2,0,0,10,0,1.1,1.1,1,33,4,0,44
tom cairney,Cairney,Fulham,13,MF,50,32,34,14,1488,1,4,0,0,3,0,1.1,2.3,1,27,4,0,70
christian nørgaard,Nørgaard,Brentford,16,MF,50,29,31,30,2505,2,1,0,0,8,0,3.5,1.9,0,51,6,0,74
david brooks,Brooks,Bournemouth,12,MF,50,26,13,2,282,1,1,0,0,1,0,2.2,1.0,0,7,0,0,23
jack harrison,Harrison,Everton,15,MF,55,26,29,25,2214,3,3,0,0,1,0,3.6,3.4,0,26,11,0,92
marcos senesi,Senesi,Bournemouth,12,DF,50,26,31,26,2242,4,5,0,0,13,0,2.0,1.7,0,44,6,0,102
dane scarlett,Scarlett,Spurs,5,FW,45,19,4,0,22,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4
ruben gato alves dias,Rúben,Man City,1,DF,55,26,30,28,2559,0,0,0,0,0,0,1.4,0.3,1,28,9,0,88
carlos baleba,Baleba,Brighton,11,MF,50,19,27,15,1325,0,0,0,0,7,0,0.8,0.3,0,28,2,0,34
jacob ramsey,Ramsey,Aston Villa,4,MF,55,22,16,8,853,1,1,0,0,2,0,2.2,1.0,0,12,0,0,29
harry toffolo,Toffolo,Nott'm Forest,17,DF,45,27,23,15,1459,1,3,0,0,3,0,1.6,1.5,0,29,2,0,52
marc guehi,Guéhi,Crystal Palace,10,DF,45,23,25,23,2021,0,1,0,0,2,0,0.6,0.6,0,32,6,0,66
victor lindelof,Lindelof,Man Utd,8,DF,45,29,19,14,1328,1,1,0,0,2,0,0.8,0.3,0,16,5,0,62
tim ream,Ream,Fulham,13,DF,45,35,18,17,1503,1,0,0,0,4,1,1.0,0.0,0,31,3,0,40
tomas soucek,Souček,West Ham,9,MF,50,28,37,34,2870,7,2,0,0,7,0,6.7,1.7,0,64,5,0,116
jadon sancho,Sancho,Man Utd,8,MF,65,23,3,0,79,0,0,0,0,0,0,0.0,0.1,0,1,0,0,3
jean-ricner bellegarde,Bellegarde,Wolves,14,MF,50,25,22,10,958,2,1,0,0,0,1,1.6,1.0,0,24,0,0,45
daniel munoz,Muñoz,Crystal Palace,10,DF,50,27,16,16,1439,0,4,0,0,4,0,1.2,2.4,0,22,5,0,56
son heung-min,Son,Spurs,5,MF,100,31,35,34,2934,17,10,2,0,1,0,12.0,11.8,1,51,8,0,213
