NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
aymeric laporte,26,1.0,DF,16,14,1344,0,0,0,0,1,0,0.8,0.4,0,10,7,0,58,160
allan,29,10.0,MF,288,276,24612,0,0,0,0,72,0,3.5999999999999992,9.6,0,231,57,0,570,116
sean longstaff,22,12.0,MF,22,15,1412,0,1,0,0,2,0,1.4,1.0,0,26,2,0,41,48
alphonse areola,27,18.0,GK,36,36,3240,0,0,0,0,2,0,0.0,0.0,0,48,9,116,124,2
fabian delph,30,10.0,"MF,DF",8,2,266,0,0,0,0,1,0,0.0,0.1,0,6,0,0,8,18
rhys williams,19,3.0,DF,9,7,661,0,0,0,0,0,0,0.5,0.2,0,6,3,0,28,0
reece james,20,4.0,DF,32,25,2373,1,2,0,0,3,0,1.6,3.5,0,29,9,0,112,141
marvelous nakamba,26,11.0,MF,13,9,749,0,0,0,0,3,0,0.0,0.1,0,6,4,0,27,22
allan saint-maximin,23,12.0,"FW,MF",25,19,1560,3,4,0,0,0,0,2.6,3.7,0,26,7,0,85,116
reiss nelson,20,8.0,"FW,MF",2,0,71,0,0,0,0,0,0,0.1,0.0,0,0,0,0,2,1
jamal lewis,22,12.0,DF,24,20,1837,0,1,0,0,4,0,0.1,1.0,0,37,3,0,44,10
robin olsen,30,10.0,GK,7,7,630,0,0,0,0,1,0,0.0,0.0,0,9,2,21,25,1
ederson,26,1.0,GK,36,36,3240,0,1,0,0,3,0,0.0,0.3,0,28,19,66,160,155
harvey barnes,22,5.0,"FW,MF",25,22,1945,9,4,0,0,0,0,5.9,1.6,0,25,7,0,126,137
joao virginia,20,10.0,GK,1,0,48,0,0,0,0,0,0,0.0,0.0,0,0,0,3,2,0
matt doherty,28,7.0,DF,17,13,1240,0,2,0,0,4,1,0.4,0.7,0,15,4,0,47,67
moussa djenepo,22,15.0,MF,27,15,1240,1,0,0,0,5,0,0.8,0.4,0,27,3,0,46,13
abdoulaye doucoure,27,10.0,MF,29,29,2443,2,3,0,0,6,0,2.3,2.0,0,36,9,0,80,90
ruben loftus-cheek,24,11.0,FW,31,22,1969,1,0,0,0,3,0,3.4,1.2,0,44,22,0,132,52
adrian,33,3.0,GK,12,12,1080,0,0,0,0,0,0,0.0,0.0,0,18,2,20,22,0
ethan ampadu,19,20.0,"DF,MF",25,23,2089,0,0,0,0,3,0,0.3,1.2,1,41,2,0,44,0
javier manquillo,26,12.0,DF,13,10,825,0,0,0,0,1,0,0.0,0.3,0,15,3,0,28,38
nampalys mendy,28,5.0,MF,23,15,1459,0,1,0,0,5,0,0.1,0.2,0,25,4,0,41,24
trent alexander-arnold,21,3.0,DF,36,34,3031,2,7,0,0,2,0,2.6,8.6,0,40,10,0,160,208
ian carlo poveda,20,9.0,MF,14,0,355,0,0,0,0,0,0,0.3,1.1,0,5,0,0,14,0
dele alli,24,7.0,MF,15,7,620,0,1,0,0,0,0,2.0,1.2,0,9,3,0,30,35
axel tuanzebe,22,2.0,DF,9,4,404,0,0,0,0,2,0,0.0,0.0,1,8,0,0,7,14
ademola lookman,22,18.0,"FW,MF",34,31,2747,4,4,0,1,5,0,6.3,5.2,0,33,10,0,107,76
fred,27,2.0,MF,900,810,71700,30,0,0,0,150,0,53.999999999999972,56.999999999999972,0,390,120,0,1056,93
callum hudson-odoi,19,4.0,"FW,DF",23,10,1059,2,3,0,0,0,0,1.3,2.8,0,5,6,0,59,49
rodri,24,1.0,MF,1632,1488,131904,96,96,48,0,288,0,115.2000000000001,67.199999999999974,0,1144,328,0,3872,127
dane scarlett,16,7.0,FW,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1
rodrigo,29,9.0,"MF,FW",156,84,7728,42,12,0,0,18,0,30.6,21.0,0,144,48,0,540,127
yves bissouma,23,16.0,MF,36,35,3111,1,0,0,0,8,1,1.4,0.9,0,42,11,0,77,66
japhet tanganga,21,7.0,DF,6,6,487,0,0,0,0,2,0,0.4,0.6,0,8,2,0,14,29
adam lallana,32,16.0,"MF,FW",30,16,1596,1,1,0,0,0,0,1.6,2.6,0,18,5,0,58,44
jakub moder,21,16.0,"DF,MF",12,7,647,0,0,0,0,0,0,0.8,0.2,0,10,2,0,21,58
joelinton,23,12.0,"FW,MF",31,23,1983,4,2,1,0,3,0,5.4,2.4,0,36,3,0,74,83
jordan henderson,30,3.0,"MF,DF",21,20,1704,1,1,0,0,0,0,1.3,1.5,0,23,4,0,56,110
dwight mcneil,20,17.0,MF,36,34,3069,2,5,0,0,1,0,1.1,6.2,0,50,11,0,113,84
stuart armstrong,28,15.0,MF,33,32,2764,4,5,0,0,3,0,2.7,2.6,0,56,8,0,115,57
nathan ake,25,1.0,DF,10,9,797,1,0,0,0,4,0,0.3,0.0,0,13,3,0,29,54
donny van de beek,23,2.0,"MF,FW",19,4,524,1,1,0,0,1,0,0.4,0.9,0,12,0,0,32,31
mathew ryan,28,12.0,GK,14,14,1260,0,0,0,0,1,0,0.0,0.1,0,42,6,48,74,0
cenk tosun,29,10.0,FW,5,0,48,0,0,0,0,1,0,0.0,0.1,0,3,0,0,4,1
