,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
1,folarin balogun,0,0,0,0,44,0
2,cedric alves soares,0,0,0,0,38,3
3,mohamed elneny,0,0,0,0,44,6
4,fabio ferreira vieira,1,2,0,0,54,24
5,gabriel dos santos magalhaes,16,26,1,0,54,149
6,kai havertz,16,22,0,0,76,180
7,rob holding,0,0,0,0,43,0
8,gabriel fernando de jesus,11,11,0,0,77,85
9,jorge luiz frello filho,4,11,0,0,53,44
10,jakub kiwior,6,8,0,0,40,67
11,marcus oliveira alencar,0,0,0,0,45,0
12,gabriel martinelli silva,10,23,0,0,75,118
13,eddie nketiah,6,10,0,0,50,71
14,martin ødegaard,19,23,0,0,86,186
15,thomas partey,5,5,0,0,48,24
16,nicolas pepe,0,0,0,0,49,0
17,aaron ramsdale,2,5,0,9,45,20
18,runar alex runarsson,0,0,0,0,40,0
19,bukayo saka,16,27,0,0,88,226
20,william saliba,18,29,0,0,59,164
21,albert sambi lokonga,2,31,0,0,49,47
22,emile smith rowe,3,3,0,0,53,25
23,nuno varela tavares,1,9,0,0,40,11
24,kieran tierney,0,0,0,0,44,0
25,takehiro tomiyasu,6,10,0,0,45,70
26,leandro trossard,12,10,0,0,66,138
27,auston trusty,1,81,0,0,39,28
28,matt turner,2,28,0,55,37,41
29,benjamin white,18,26,0,0,61,182
30,granit xhaka,0,0,0,0,60,0
31,oleksandr zinchenko,9,15,0,0,50,104
32,alexandre moreno lopera,3,20,1,0,49,49
33,cameron archer,2,50,0,0,42,82
34,leon bailey,5,32,0,0,54,148
35,emiliano buendia stati,0,0,0,0,57,0
36,matty cash,3,36,1,0,45,64
37,calum chambers,0,6,0,0,38,6
38,philippe coutinho correia,0,1,0,0,58,2
39,keinan davis,0,0,0,0,49,0
40,leander dendoncker,0,3,0,0,49,20
41,diego carlos santos silva,6,36,0,0,44,55
42,lucas digne,6,41,0,0,46,85
43,douglas luiz soares de paulo,6,57,0,0,54,148
44,jhon duran,0,12,0,0,50,50
45,kortney hause,0,0,0,0,39,0
46,tim iroegbunam,0,7,0,0,44,10
47,boubacar kamara,7,22,0,0,50,40
48,ezri konsa ngoyo,7,54,0,0,45,91
49,emiliano martinez romero,8,48,2,95,52,115
50,john mcginn,7,54,0,0,53,119
51,tyrone mings,0,2,0,0,41,0
52,marvelous nakamba,0,24,0,0,43,21
53,robin olsen,0,13,0,21,39,17
54,jaden philogene-bidace,0,1,0,0,45,1
55,jacob ramsey,0,12,0,0,59,29
56,morgan sanson,0,0,0,0,45,0
57,viljami sinisalo,0,0,0,0,40,0
58,youri tielemans,4,27,0,0,56,77
59,bertrand traore,0,0,0,0,50,2
60,ollie watkins,7,56,0,0,89,228
61,wesley moraes ferreira da silva,0,0,0,0,50,0
62,jaidon anthony,0,5,0,0,49,3
63,philip billing,2,36,0,0,51,60
64,david brooks,0,7,0,0,47,23
65,ryan christie,8,56,0,0,50,90
66,lewis cook,8,51,0,0,48,77
67,siriki dembele,0,0,0,0,45,0
68,ryan fredericks,0,0,0,0,43,0
69,james hill,0,1,0,0,40,5
70,lloyd kelly,4,32,0,0,45,48
71,gavin kilkenny,0,0,0,0,43,0
72,justin kluivert,11,23,0,0,46,100
73,jamal lowe,0,0,0,0,49,0
74,emiliano marcondes,0,0,0,0,43,0
75,chris mepham,1,16,0,0,43,16
76,kieffer moore,0,2,0,0,46,14
77,norberto murara neto,7,55,0,113,46,110
78,dango ouattara,5,24,0,0,47,56
79,ben pearson,0,0,0,0,45,0
80,darren randolph,0,0,0,0,39,0
81,joe rothwell,0,12,0,0,48,13
82,antoine semenyo,8,33,0,0,45,107
83,marcos senesi,6,44,0,0,44,102
84,adam smith,8,33,0,0,44,80
85,dominic solanke,10,61,0,0,69,175
86,marcus tavernier,8,38,0,0,50,89
87,hamed traore,0,1,0,0,47,3
88,mark travers,2,5,0,13,40,19
89,illia zabarnyi,8,67,0,0,44,84
90,kristoffer ajer,5,33,0,0,44,68
91,ellery balcombe,0,0,0,0,39,0
92,shandon baptiste,0,5,0,0,43,19
93,mads bech sørensen,0,0,0,0,40,0
94,mads bidstrup,0,0,0,0,45,0
95,sergi canos tenes,0,0,0,0,50,0
96,nathan collins,7,51,0,0,45,84
97,matthew cox,0,0,0,0,40,0
98,mikkel damsgaard,5,9,0,0,48,45
99,josh dasilva,0,0,0,0,47,3
100,halil dervisoglu,0,0,0,0,45,0
101,mark flekken,7,63,0,115,47,119
102,charlie goode,0,0,0,0,39,0
103,rico henry,1,5,0,0,42,13
104,aaron hickey,2,12,0,0,43,17
105,vitaly janelt,9,52,0,0,52,93
106,mathias jensen,9,45,0,0,52,98
107,keane lewis-potter,6,29,0,0,47,73
108,bryan mbeumo,5,31,0,0,68,127
109,ben mee,1,28,0,0,47,39
110,christian nørgaard,6,51,0,0,52,74
111,frank onyeka,1,27,0,0,49,39
112,ethan pinnock,5,46,0,0,45,77
113,david raya martin,16,24,0,46,53,135
114,mads roerslev rasmussen,5,40,0,0,44,75
115,kevin schade,1,5,0,0,52,33
116,thomas strakosha,0,2,0,6,39,4
117,ivan toney,3,30,0,0,77,57
118,ryan trevitt,0,0,0,0,45,0
119,yoane wissa,11,40,0,0,57,131
120,yegor yarmoliuk,4,9,0,0,42,33
121,mathias jorgensen,2,24,0,0,43,29
122,simon adingra,4,38,0,0,50,97
123,steven alzate,0,0,0,0,44,0
124,yasin ayari,0,0,0,0,45,0
125,facundo buonanotte,6,19,0,0,47,57
126,moises caicedo corozo,7,50,0,0,45,84
127,aaron connolly,0,0,0,0,45,0
128,mahmoud dahoud,1,6,0,0,48,14
129,lewis dunk,5,53,0,0,52,89
130,julio enciso,0,12,0,0,50,20
131,pervis estupinan,3,26,1,0,47,57
132,evan ferguson,2,28,0,0,57,69
133,billy gilmour,6,37,0,0,48,61
134,pascal groß,7,50,0,0,61,153
135,joao pedro junqueira de jesus,5,38,0,0,52,104
136,michał karbownik,0,0,0,0,40,0
137,kacper kozłowski,0,0,0,0,45,0
138,adam lallana,2,13,0,0,49,30
139,tariq lamptey,1,20,0,0,39,31
140,solly march,2,11,0,0,61,39
141,tom mcgill,0,0,0,0,39,0
142,james milner,4,12,0,0,48,28
143,kaoru mitoma,1,27,0,0,64,74
144,jakub moder,1,13,0,0,44,21
145,robert sanchez,3,25,0,53,45,59
146,jeremy sarmiento morante,0,0,0,0,45,0
147,kjell scherpen,0,0,0,0,40,0
148,jason steele,2,34,0,43,40,42
149,deniz undav,0,0,0,0,55,0
150,jan paul van hecke,5,38,0,0,40,61
151,joel veltman,3,32,0,0,43,49
152,bart verbruggen,4,28,0,65,44,68
153,adam webster,2,22,1,0,42,26
154,danny welbeck,8,28,0,0,57,79
155,andi zeqiri,0,0,0,0,44,0
156,enock agyei,0,0,0,0,42,0
157,ameen al-dakhil,0,26,1,0,38,19
158,samuel bastien,0,0,0,0,49,0
159,manuel benson hedilazio,0,5,0,0,52,8
160,jordan beyer,2,23,0,0,39,30
161,josh brownhill,2,56,0,0,47,78
162,darko churlinov,0,0,0,0,44,0
163,jack cork,0,0,0,0,48,4
164,dara costelloe,0,0,0,0,45,0
165,josh cullen,0,48,0,0,50,65
166,cj egan-riley,0,0,0,0,39,0
167,hjalmar ekdal,1,8,0,0,39,15
168,lyle foster,2,43,0,0,47,75
169,denis franchi,0,0,0,0,39,0
170,johann berg gudmundsson,2,25,0,0,48,48
171,luke mcnally,0,0,0,0,40,0
172,arijanet muric,0,16,1,64,43,47
173,dara o’shea,2,71,1,0,44,69
174,michael obafemi,0,0,0,0,49,2
175,bailey peacock-farrell,0,0,0,0,40,0
176,connor roberts,0,23,0,0,43,12
177,jay rodriguez,1,18,0,0,53,41
178,charlie taylor,2,46,0,0,39,47
179,bobby thomas,0,0,0,0,40,0
180,scott twine,0,0,0,0,49,0
181,lawrence vigouroux,0,0,0,0,39,0
182,victor da silva,2,44,0,0,44,60
183,wout weghorst,0,0,0,0,55,0
184,anass zaroury,0,4,0,0,46,4
185,ethan ampadu,0,0,0,0,40,0
186,andrey nascimento dos santos,0,0,0,0,42,1
187,kepa arrizabalaga,0,0,0,0,50,0
188,pierre-emerick aubameyang,0,0,0,0,65,0
189,cesar azpilicueta,0,0,0,0,45,0
190,abdul rahman baba,0,0,0,0,40,0
191,benoit badiashile,3,31,1,0,44,35
192,marcus bettinelli,0,0,0,0,40,-1
193,armando broja,3,9,0,0,49,35
194,trevoh chalobah,3,14,0,0,43,39
195,ben chilwell,1,14,0,0,54,24
196,carney chukwuemeka,0,5,0,0,42,16
197,levi colwill,5,26,0,0,46,65
198,marc cucurella saseta,4,33,1,0,49,44
199,enzo fernandez,5,47,0,0,48,77
200,david datro fofana,1,18,0,0,50,50
201,wesley fofana,0,0,0,0,44,0
202,conor gallagher,8,56,0,0,54,129
203,malo gusto,5,28,0,0,43,74
204,lewis hall,2,12,0,0,42,38
205,callum hudson-odoi,2,41,0,0,47,109
206,reece james,0,13,0,0,53,11
207,romelu lukaku bolingoli,0,0,0,0,68,0
208,noni madueke,4,19,0,0,53,76
209,mason mount,1,13,0,0,68,23
210,mykhailo mudryk,7,28,0,0,63,94
211,nicolas jackson,9,48,0,0,70,142
212,christopher nkunku,0,12,0,0,72,29
213,christian pulisic,0,0,0,0,55,0
214,malang sarr,0,0,0,0,43,0
